,name,rcode,code,total_amt,deliver_amt,area,technical,funds,message,trade,basic,total_num,point_num,dt
328,捷成股份,300182.SZ,300182,26546126000,14324221000,计算机应用,6.6,3.5,5.9,8,5.8,29.8,73,2018/4/9
329,久联发展,002037.SZ,2037,4553691100,4553691100,化学制品,7.3,4.4,6.3,7.2,6,31.2,73,2018/4/9
330,精测电子,300567.SZ,300567,6478843700,1582000000,仪器仪表,8.4,7,6.5,4.7,6,32.6,73,2018/4/9
331,拓尔思,300229.SZ,300229,5843589200,5416530900,计算机应用,5.2,2.4,6.9,8,5.6,28.1,73,2018/4/9
332,穗恒运Ａ,000531.SZ,531,6193148700,6193134400,电力,5.2,5.2,6,5.8,6.2,28.4,73,2018/4/9
333,长生生物,002680.SZ,2680,14099037000,4750085000,生物制品,4.5,8.6,5.8,8,6.3,33.2,73,2018/4/9
334,宏大爆破,002683.SZ,2683,6390555500,4637772900,化学制品,9,5.1,5.5,7.2,5.5,32.3,73,2018/4/9
335,凯瑞德,002072.SZ,2072,5452480000,5452480000,纺织制造,3.5,4.1,3,6,6,22.6,73,2018/4/9
336,漳泽电力,000767.SZ,767,11292377900,8271170200,电力,2.5,5.6,5.2,5.8,4.7,23.8,73,2018/4/9
337,德尔股份,300473.SZ,300473,4508842100,1990649100,汽车零部件,6.2,4.6,5.9,3.2,6.4,26.3,73,2018/4/9
338,福建金森,002679.SZ,2679,2854034400,2854034400,种植业与林业,8.2,6.2,6.3,8.2,5.2,34.1,73,2018/4/9
339,东方网络,002175.SZ,2175,8472467100,5817825700,传媒,2.6,2,4.1,6,5.1,19.8,73,2018/4/9
340,杰赛科技,002544.SZ,2544,10758753600,10661335300,通信设备,8.6,4.5,6.1,7.8,6.7,33.7,73,2018/4/9
341,蓝晓科技,300487.SZ,300487,3481172500,1455186600,化学制品,8.6,2.6,6.6,3.8,6.3,27.9,73,2018/4/9
342,孚日股份,002083.SZ,2083,6973440000,6574804600,纺织制造,5.1,3.1,6.3,6.4,6.2,27.1,73,2018/4/9
343,星星科技,300256.SZ,300256,6228326900,3640453700,电子制造,7.5,4.2,5.7,6.2,4.9,28.5,73,2018/4/9
