rcode	    名称	现价	总市值	流通市值	所属行业
002658	雪迪龙	14.74	8915935900	4485123400	仪器仪表
002595	豪迈科技	20.38	16304000000	10599692900	通用设备
000530	大冷股份	7.15	6123883300	4220005000	通用设备
603903	中持股份	45.65	4676294700	1169073680	燃气水务
600874	创业环保	18.63	26589266000	20255066000	燃气水务
300021	大禹节水	8.31	6626067300	5430618600	农业服务
000937	冀中能源	7.28	25724221000	21160047000	煤炭开采
000037	深南电A	9.38	5653913200	3178836600	电力
603315	福鞍股份	16.68	3336000000	1298746500	通用设备
000826	启迪桑德	34.64	35396606000	29328868000	环保工程
600185	格力地产	6.34	13060786800	13060786800	房地产开发
002068	黑猫股份	10.68	7765039200	6482321800	化工合成材料
600325	华发股份	8.03	17010054000	15371043000	房地产开发
002557	洽洽食品	14.46	7331220000	7331220000	食品加工制造
300373	扬杰科技	20.89	9870333700	3761192300	半导体及元件
002833	弘亚数控	55.71	7533384800	1858485600	专用设备
601718	际华集团	9.11	40007744000	35137270000	服装家纺
601228	广州港	6.97	43166465000	4869799600	港口航运
300560	中富通	56.3	5921634000	1480408500	通信设备
002696	百洋股份	20.4	3590400000	2116903000	养殖业
603883	老百姓	47.95	12802650000	4033709400	医药商业
002400	省广股份	7.04	12273093400	9978128000	传媒
601006	大秦铁路	9.21	1.36923E+11	1.36923E+11	公路铁路运输
000401	冀东水泥	18.57	25023501000	25017859000	建筑材料
600702	沱牌舍得	33	11130900000	11130900000	饮料制造
002047	宝鹰股份	8.31	10496372900	10496054400	建筑装饰
600262	北方股份	27.78	4722600000	4722600000	非汽车交运
002221	东华能源	11.67	18904966000	14875394000	基础化学
002743	富煌钢构	16.13	5443082700	1849788400	建筑装饰
002767	先锋电子	24.54	3681000000	920250000	电气设备
600555	海航创新	5.05	6582675000	4916175000	房地产开发
300521	爱司凯	34.79	2783200000	1833499100	专用设备
300543	朗科智能	39.3	4716000000	1179000000	电子制造
000408	藏格控股	13.57	28120183000	4251705800	化学制品
603036	如通股份	22.64	4604070400	1151017600	专用设备
600822	上海物贸	13.02	6457567300	5157845800	贸易
600827	百联股份	15.31	27315614000	23619924000	零售
002745	木林森	37.49	19807014000	6085666100	光学光电子
002060	粤 水 电	4	4809048200	4806857700	建筑装饰
600771	广誉远	37.98	13411167300	9259844500	化学制药
002599	盛通股份	13.9	4503685000	2533535600	包装印刷
002681	奋达科技	13.96	17403270000	8350725300	白色家电
002656	摩登大道	16.89	7274262000	4229256000	服装家纺
600176	中国巨石	10.54	30761928000	30761928000	化工新材料
600233	圆通速递	18.74	52869843000	6184200000	物流
600505	西昌电力	8.81	3211839700	3211839700	电力
300352	北信源	5.35	7756558900	5572800700	计算机应用
600115	东方航空	7.16	1.03588E+11	70228757000	机场航运
000813	德展健康	8.98	20128507000	5286912600	化学制药
600419	天润乳业	48.58	5030809200	4347859200	食品加工制造
600393	粤泰股份	7.2	18260985000	7115080000	房地产开发
600781	辅仁药业	25.9	4599655200	4599655200	中药
002865	钧达股份	22.02	2642400000	660600000	汽车零部件
002388	新亚制程	9.79	4931875000	3912084000	其他电子
002307	北新路桥	16.53	9212618000	9212487400	建筑装饰
300114	中航电测	13.5	7975266700	6159920100	仪器仪表
600086	东方金钰	11.08	14958000000	11709842800	家用轻工
603787	新日股份	15.4	3141600000	785400000	非汽车交运
600082	海泰发展	6.17	3986534600	3902782900	贸易
002362	汉王科技	24.08	5227763000	4248306300	计算机应用
603050	科林电气	34.09	4545560600	1136560600	电气设备
300315	掌趣科技	8.09	22312162000	21378958000	传媒
000090	天健集团	11.84	14181781000	9158738000	房地产开发
600657	信达地产	5.61	8551101100	8551101100	房地产开发
600509	天富能源	8.16	7390484100	7390484100	电力
002149	西部材料	11.97	5092208900	5091849800	新材料
600578	京能电力	4.42	29820566000	20408559000	电力
